Zip,Tested,Positive Cases,Deaths
53142,96,6,N/A
60002,407,59,N/A
60004,1628,161,N/A
60005,492,85,N/A
60007,587,117,N/A
60008,446,144,N/A
60010,466,48,N/A
60012,162,56,N/A
60013,268,49,N/A
60014,654,88,N/A
60015,616,113,N/A
60016,1923,663,N/A
60018,880,271,N/A
60020,170,19,N/A
60021,74,9,N/A
60022,194,23,N/A
60025,1098,216,N/A
60026,382,89,N/A
60030,571,84,N/A
60031,752,167,N/A
60033,243,65,N/A
60035,853,162,N/A
60040,138,49,N/A
60041,139,24,N/A
60042,96,15,N/A
60043,90,14,N/A
60044,279,58,N/A
60045,481,93,N/A
60046,549,97,N/A
60047,457,95,N/A
60048,431,67,N/A
60050,497,107,N/A
60051,346,55,N/A
60053,708,166,N/A
60056,1185,325,N/A
60060,676,214,N/A
60061,418,93,N/A
60062,1235,210,N/A
60064,622,350,N/A
60067,567,81,N/A
60068,805,174,N/A
60069,198,43,N/A
60070,359,106,N/A
60071,50,6,N/A
60073,1098,345,N/A
60074,768,186,N/A
60076,1322,295,N/A
60077,1106,242,N/A
60081,129,28,N/A
60083,184,56,N/A
60084,229,97,N/A
60085,2335,1296,N/A
60087,710,330,N/A
60088,71,35,N/A
60089,628,132,N/A
60090,999,323,N/A
60091,734,111,N/A
60093,583,102,N/A
60096,98,19,N/A
60097,169,22,N/A
60098,600,168,N/A
60099,715,273,N/A
60101,1043,353,N/A
60102,409,70,N/A
60103,670,117,N/A
60104,837,260,N/A
60106,921,273,N/A
60107,847,237,N/A
60108,994,121,N/A
60110,574,227,N/A
60112,70,15,N/A
60115,521,56,N/A
60118,178,34,N/A
60119,146,16,N/A
60120,987,400,N/A
60123,824,250,N/A
60124,257,36,N/A
60126,971,154,N/A
60130,501,72,N/A
60131,669,186,N/A
60133,888,316,N/A
60134,359,77,N/A
60135,101,15,N/A
60136,107,23,N/A
60137,573,75,N/A
60139,921,269,N/A
60140,261,40,N/A
60141,151,6,N/A
60142,440,45,N/A
60143,403,85,N/A
60148,937,154,N/A
60152,174,30,N/A
60153,1039,268,N/A
60154,643,116,N/A
60155,344,112,N/A
60156,392,56,N/A
60157,34,6,N/A
60160,1023,341,N/A
60162,351,90,N/A
60163,175,48,N/A
60164,1171,248,N/A
60165,203,97,N/A
60169,651,179,N/A
60171,329,59,N/A
60172,472,126,N/A
60173,167,37,N/A
60174,689,62,N/A
60175,359,38,N/A
60176,320,73,N/A
60177,367,85,N/A
60178,254,20,N/A
60181,597,132,N/A
60185,849,280,N/A
60187,520,63,N/A
60188,945,244,N/A
60189,441,53,N/A
60190,290,22,N/A
60191,324,78,N/A
60192,218,27,N/A
60193,601,115,N/A
60194,348,62,N/A
60195,59,7,N/A
60201,1399,210,N/A
60202,1193,199,N/A
60203,130,20,N/A
60301,94,16,N/A
60302,962,136,N/A
60304,460,49,N/A
60305,293,36,N/A
60401,205,31,N/A
60402,2536,721,N/A
60403,586,96,N/A
60404,492,71,N/A
60406,903,232,N/A
60408,89,11,N/A
60409,1585,350,N/A
60410,247,21,N/A
60411,2482,555,N/A
60415,417,126,N/A
60417,507,97,N/A
60418,249,58,N/A
60419,1074,235,N/A
60422,384,62,N/A
60423,583,93,N/A
60425,542,87,N/A
60426,1316,282,N/A
60428,719,142,N/A
60429,951,161,N/A
60430,841,196,N/A
60431,747,115,N/A
60432,567,147,N/A
60433,503,144,N/A
60434,73,133,N/A
60435,1829,391,N/A
60436,602,106,N/A
60438,1003,224,N/A
60439,449,56,N/A
60440,1883,501,N/A
60441,708,130,N/A
60442,189,27,N/A
60443,1107,250,N/A
60445,538,89,N/A
60446,1209,257,N/A
60447,291,23,N/A
60448,420,90,N/A
60449,333,52,N/A
60450,257,20,N/A
60451,506,68,N/A
60452,653,125,N/A
60453,1528,407,N/A
60455,811,202,N/A
60456,125,26,N/A
60457,295,84,N/A
60458,419,65,N/A
60459,789,212,N/A
60461,244,41,N/A
60462,886,163,N/A
60463,415,135,N/A
60464,176,27,N/A
60465,422,102,N/A
60466,1382,374,N/A
60467,503,103,N/A
60468,92,19,N/A
60469,180,36,N/A
60471,660,143,N/A
60472,260,46,N/A
60473,1186,255,N/A
60475,307,53,N/A
60476,83,13,N/A
60477,843,140,N/A
60478,1065,218,N/A
60480,139,21,N/A
60481,189,15,N/A
60482,272,53,N/A
60484,310,70,N/A
60487,521,84,N/A
60490,576,93,N/A
60491,440,91,N/A
60501,398,142,N/A
60502,282,36,N/A
60503,196,29,N/A
60504,615,123,N/A
60505,1337,596,N/A
60506,1452,370,N/A
60510,432,51,N/A
60513,636,86,N/A
60514,233,27,N/A
60515,410,46,N/A
60516,467,67,N/A
60517,686,127,N/A
60521,587,158,N/A
60523,309,53,N/A
60525,1025,160,N/A
60526,438,46,N/A
60527,954,160,N/A
60532,428,73,N/A
60534,319,78,N/A
60538,457,106,N/A
60540,709,62,N/A
60542,344,50,N/A
60543,514,100,N/A
60544,705,97,N/A
60545,217,59,N/A
60546,511,88,N/A
60548,148,20,N/A
60551,49,16,N/A
60554,154,21,N/A
60555,265,52,N/A
60558,242,17,N/A
60559,602,172,N/A
60560,294,45,N/A
60561,532,75,N/A
60563,652,88,N/A
60564,623,82,N/A
60565,619,108,N/A
60585,373,47,N/A
60586,1086,186,N/A
60601,401,61,N/A
60602,63,7,N/A
60604,50,10,N/A
60605,896,134,N/A
60606,252,35,N/A
60607,1158,315,N/A
60608,3112,943,N/A
60609,2404,867,N/A
60610,1102,158,N/A
60611,1145,105,N/A
60612,2171,431,N/A
60613,1263,272,N/A
60614,1939,323,N/A
60615,1604,256,N/A
60616,1696,274,N/A
60617,3067,625,N/A
60618,2671,631,N/A
60619,2804,642,N/A
60620,3084,772,N/A
60621,1241,344,N/A
60622,1730,377,N/A
60623,3640,1663,N/A
60624,1819,505,N/A
60625,2450,773,N/A
60626,1997,603,N/A
60628,2704,697,N/A
60629,3870,1578,N/A
60630,1830,424,N/A
60631,1294,149,N/A
60632,3316,1455,N/A
60633,1176,183,N/A
60634,3601,784,N/A
60636,1213,427,N/A
60637,2189,375,N/A
60638,2497,657,N/A
60639,4044,1649,N/A
60640,2078,531,N/A
60641,2485,702,N/A
60642,605,95,N/A
60643,2599,543,N/A
60644,2494,728,N/A
60645,2281,695,N/A
60646,1304,233,N/A
60647,2633,667,N/A
